id,QT,GK,TH,CK,TBM,TBTL
344,9.5,10,9.5,7,8.6,7.91
345,10,7,10,9,9,8.58
346, , ,8.5,7, ,7.86
347,4,4.5,4.5,4.5,4.5,4.18
348,10,9,10,7.5,8.8,7.64
353,4.5,3,4,5,4.3,5.66
355,8,6.5,10,5.5,7.3,6.55
356,4.5,8,8.5,7.5,7.6,7.9
361,6,2.5,5,1,3,4.09
362,6.5,9,5,2.5,5,7.04
363,4.5,5.5,4,7,5.6,3.25
364,10,10, ,7.5, ,9.88
365, , ,9.5,3, ,6.43
368,5.5,4.5,5,3,4.2,5.18
372,9.5,9.5,9,5,7.6,8.12
373,9,9.5,7.5,4.5,6.9,7.05
374,8,4,6,7,6.2,7.14
375,10,9,10,7.5,8.8,8.71
376,10,8.5,9,8,8.6,8.56
379,10,4.5,6,5,5.7,7.36
380,7.5,10,8,7.5,8.2,7.63
381,5,3,6.5,6.5,5.7,7.88
383,9.5,7, ,8, ,9.09
386,8,8.5,8,7.5,7.9,8.55
387,3,0,0,7,3.1,4.35
391,7, ,7, , ,8.5
393,10,7,10,6.5,8,7.36
394,5,4.5,6.5,5.5,5.6,7.29
395,7.5,2.5,6,4,4.7,6.65
396,2,0.5,0,2,1.1,2.51
397,7,5,8,7.5,7.1,7.22
399, , ,9.5,7, ,6.51
400,6,8,10,7,8,8.36
402,5,2,6.5,6,5.3,6.48
403,7,3.5,7,4,5.1,6.69
404,10,7,10,3.5,6.8,6.6
405, , ,9.5,3.5, ,6.19
406,10,8,10,7,8.4,8.36
407,6.5,10,6.5,4,6.2,6.26
408,2,1,1,0,0.7,2.04
409,4.5,3,6.5,3,4.2,5.63
410,8,7,7,8,7.5,6.73
411,10,6.5,6,6.5,6.7,5.08
412,6,2,7.5,3,4.5,4.18
416,9,6.5,6,5.5,6.2,6.41
417,10,7,10,7.5,8.4,8.98
418,9,8,8,6,7.3,7.85
422,6.5,2.5,5.5,4,4.4,6.16
423,8,9.5,7.5,9.5,8.8,8.1
424,7,8,6,8,7.3,7.73
425,10,8.5,10,7.5,8.7,8.32
427,6.5,4.5,6.5,4,5.1,5.72
428, , ,5,5.5, ,7.99
430,6,3,6.5,3.5,4.6,6.99
431,10,8.5,10,8,8.9,8.4
432,9,9.5,8,8.5,8.6,8.34
434,10,6,7,7.5,7.3,7.92
435,9.5,7,8,4.5,6.6,8.4
436,9,5,8,6.5,6.9,6.62
437,10,9,10,9,9.4,9.59
442,9,8.5,10,8,8.8,8.43
445, , ,3.5,7, ,6.55
446,10,6.5,7,8,7.6,8.19
447,10,10,10,7.5,9,9.01
448,10,9.5,8.5,8.5,8.9,7.99
450, , , ,7, ,8.85
452, , , ,2.5, ,7.06
453,8,5,7,7,6.7,7.58
454, , , ,4, ,8.18
455,7,8.5,5,6.5,6.5,7.99
456,8,10,7,8.5,8.3,8.69
458,7,10,6.5,8,7.9,6.94
459,10,5,4.5,7,6.2,6.27
460,7.5,8,9,8,8.3,8.11
461,10,3,7,6,6.1,6.85
462,10,6,6,8.5,7.4,8.22
464, , , ,5, ,7.4
467, , , ,7.5, ,8.24
469, , ,8.5,7, ,7.37
470, , , ,4.5, ,7.96
471,8.5,8.5, ,7.5, ,7.81
472,7,8.5,6,7.5,7.2,7.94
474,10,7,10,8,8.6,8.96
480,9,9.5,8,9,8.8,8.42
482,6,9.5,9,6.5,7.8,8.19
484,10,9,10,9.5,9.6,8.78
485, , , ,3, ,7.98
486, , , ,5.5, ,8.46
487,8,9.5, ,8, ,9.77
488, , , ,4, ,5.02
490,10,8.5,10,7,8.5,8.46
491,8,7.5,9.5,7.5,8.2,8.18
493, , , ,3, ,6.39
494,6.5,9.5,5,4.5,5.9,6.51
496,10,7.5,9,8,8.4,8.53
497, , , ,7.5, ,9.2
498, , ,8.5,3.5, ,4.55
500,5.5,7.5,8.5,7.5,7.6,7.56
501, , , ,4, ,7.83
504,7,3.5,3.5,5,4.5,5.62
505, , ,7.5,4.5, ,6.15
506,7.5,10,8,6.5,7.8,8.69
507,9,6,8,6.5,7.1,7.07
509, , , ,3, ,8.78
510, , ,7.5,3, ,6.59
512,8.5,4,6,4.5,5.3,5.62
513,8, ,9, , ,9.39
514,6,7,8.5,5,6.6,6.47
517, , ,9,5, ,6.39
519,7.5,9.5,8,8,8.3,7.99
521, , ,9,6.5, ,7.23
523,9,7.5,6.5,5.5,6.6,6.1
524,8,9.5,9,4,7,7.19
527, , ,8.5,5.5, ,6.55
528, , ,9.5,9, ,7.99
530,8,9.5,8,7.5,8.1,7.08
531,7.5,7,8.5,7,7.5,7.37
532,10,7.5,3.5,6,6,7.35
533,7,5,6,2.5,4.5,5.89
534,10,8.5,9.5,8.5,9,8.84
537,10,7.5,1.5,7,5.8,6.48
539,10,6,10,7.5,8.2,8.12
540, , ,8,4, ,6.57
541,10,6,9,7,7.7,8.59
543,10,9.5,8,9,8.9,8.76
545,8.5,10,8,5,7.3,6.85
547,7,5,7.5,6,6.4,7.63
548, , ,9,7, ,7.51
549, , , ,3.5, ,7.53
553,9,7,10,6,7.7,6.71
555,4,7,3.5,7,5.7,6.22
556,8,6,8.5,7,7.4,7.48
557,8,9.5,7,8,8,6.74
560, , , ,2.5, ,7.26
562,0,2.5,0,0,0.5,0.4
563,10,8,7.5,8,8.1,8.51
564,7.5,5,7,2.5,4.9,6.34
565,6,6,5,7,6.1,5.95
566,3,6.5,3,2.5,3.5,4.54
571,9.5,5.5,8.5,8.5,8,8.67
575,8,4.5,7.5,3.5,5.4,6.64
576,10,8.5,10,7,8.5,6.53
577,8.5,5,7.5,8.5,7.5,7.34
578,10,9,7,7.5,7.9,8.51
581,10,6,10,6.5,7.8,7.16
582,4.5,5.5,6.5,6.5,6.1,5.65
583,9,8.5,6,8,7.6,8.48
586,7.5, ,9, , ,9.16
587, , , ,3.5, ,7.27
588,8,5.5,8.5,6.5,7.1,6.8
591, , , ,6, ,7.98
593,10,9.5,9,9,9.2,8.44
594,10,9,9,7.5,8.5,9.33
595,8.5,3.5,7,7.5,6.7,8.29
596,7.5,8.5,8.5,6.5,7.6,7.75
597,9,8,6.5,9,8.1,9.18
599,4,4.5,2.5,2.5,3.1,5.26
600,9,3.5,3,5,4.5,6.1
601,6,8,5.5,4,5.5,5.7
602,9,9.5,8,9,8.8,8.48
603, , , ,4, ,8.02
604,7.5,10,8.5,5,7.3,7.24
605,7,8.5, ,6.5, ,7.75
606,10,9,10,8.5,9.2,8.78
607,8.5, ,3.5,4.5, ,7.94
608, , , ,7, ,8.38
610,4,7,10,7,7.6,5.98
611,8,6,6,8.5,7.2,8.04
612,10,9.5,10,8.5,9.3,8.84
613,5.5,5.5,5.5,5.5,5.5,6.65
614,10,8.5,10,9.5,9.5,8.99
616,9,6,6,5.5,6.1,7.91
617, , , ,4, ,6.98
618,10,9.5,10,8,9.1,9.36
619,10,9,10,8,9,8.58
620,10,9.5,9.5,8.5,9.2,7.64
622,10,5.5,6,6,6.3,6.91
624,6.5,8.5,9.5,6.5,7.8,8.03
625,6, ,2,2.5, ,7.22
626,7.5,9,8,8,8.2,8.97
627,9,4.5,4.5,4,4.8,5.63
628, , , ,4.5, ,8.72
629,10,6.5,8,7,7.5,8.04
631,5,7.5,6.5,2.5,5,5.99
632,10,7.5,10,9,9.1,8.98
633,10,8,9,6.5,7.9,7.71
635,8.5, ,9,6, ,7.73
639,4.5,6,9,5.5,6.6,7.25
642,9,9.5,5,2.5,5.3,6.85
644,10,4.5,10,5.5,7.1,6.82
645,8.5,8.5,9.5,8,8.6,8.09
648,7,8,6,7,6.9,8.48
655,10,9.5,9.5,8,9,8.82
657,9,8.5,6.5,6,7,7.35
659,10,6,10,6,7.6,8.06
660,9,8.5,7.5,6.5,7.5,7.41
662,10,7,7.5,8.5,8.1,7.01
663,10,6,3,2.5,4.1,5.79
665,9.5,5,8.5,4,6.1,6.98
668,7,8,9,8,8.2,8.33
669,7.5,9.5,8.5,8,8.4,7.09
672,9,8,7,6.5,7.2,7.15
674,0,2.5,1,0,0.8,2.11
675, , , ,5.5, ,7.67
676,6,6.5,7,4.5,5.8,7
678,10,6.5,9.5,7.5,8.2,6.45
679, , , ,3, ,8.06
682,8,4,8.5,7.5,7.2,8.16
684, , , ,7, ,7.51
685,10,8,7,8.5,8.1,9.08
687,9,8.5,8,9,8.6,9.16
690,4,4,3.5,4.5,4.1,5.27
693,3,5,6,5,5.1,6.09
694,9,5,7,8,7.2,7.45
695,9,10,8.5,7.5,8.5,7.55
700,8, ,5.5,4, ,6.1
702,10,5.5,8,5.5,6.7,6.93
705,7.5, ,8.5, , ,9.71
707, , , ,3.5, ,8.85
713,7.5,9,9.5,7.5,8.4,7.84
714,1,1.5,1,0,0.7,2.81
715,8,10,9,9,9.1,8.56
718,9,6,7.5,8.5,7.8,8.5
720,9,7.5,9,8,8.3,8.63
721,8, ,9.5,7, ,9.14
722,10,8.5,8,6.5,7.7,8.37
725,5,6,8,7,6.9,8
726,8.5,9,9.5,7,8.3,7.82
729,10,9,10,8.5,9.2,7.04
730,8.5,4.5,6,7.5,6.6,7.44
732,8,6.5,7.5,9,8,8.13
733,9.5,4,9,6,6.9,7.71
734,10,9,9,8,8.7,7.51
739,10,8,7,7.5,7.7,7.73
741,10,10,9.5,8,9.1,8.82
742,6.5,5.5,7.5,5,6,7.4
746,10,10,10,8,9.2,8.49
747,9,6,7,5,6.2,7.8
748,4,4,5,8,5.9,6.46
749,9,9.5,8,8.5,8.6,8.54
750,4.5,6.5,5.5, , ,6.89
754,10,8,9,7.5,8.3,8.65
755,4.5,8,4.5,4,5,6.23
758,2,3,3.5,7,4.7,6.93
760,6,5.5,5,4.5,5,6.74
761,6.5,8.5,4.5,3,4.9,7.56
762,9,4.5,9.5,8.5,8.1,7.26
766,6,6.5,10,5,6.9,5.91
768,7.5,3.5,5.5,1.5,3.7,6.18
769,9,4,5,5.5,5.4,5.09
772,10,8.5, , , ,8.07
773, , , ,5.5, ,7.65
774,10,8.5, , , ,7.81
776,10,8.5, , , ,6.98
777,7,8.5,5,7.5,6.9,7.99
778,9,6.5,9,7.5,7.9,7.88
779,5,3,2.5,5.5,4.1,5.53
780, , , ,2, ,8.05
781,4.5,3.5,5.5,4,4.4,6.07
783,8, ,9.5,9, ,6.92
785, , , ,5, ,7.42
789, , , ,6, ,8.56
791, , , ,2, ,7.94
792,10,9, , , ,8.66
793,8, ,8.5,6.5, ,6.3
794,8,4.5,8,5.5,6.3,7.9
796,7,5.5,8,6.5,6.8,7.46
798,7, ,7.5,6, ,7.76
801,5.5,7,8,6.5,7,7.97
802,10,8,10,8.5,9,8.96
803,4.5,3,3.5,3.5,3.5,6
804,10,9, , , ,8.34
806, , , ,7, ,8.74
809, , , ,5, ,7.25
811,10,9, , , ,8.2
813, , , ,3, ,9.02
814,9,9,8,7,7.9,8.22
815,7.5, ,6,6, ,5.69
816,9,2,6, , ,8.18
817,10,7,3,6,5.7,6.43
818,10,7.5, , , ,6.37
819,9,8,8,5.5,7.1,7.37
821,6,6.5,8.5,8,7.7,8.22
822,7.5, ,9.5,8.5, ,7.97
823,2, ,3,0, , 
824,6.5,8,7, , ,7.95
828,10,5.5,8,4.5,6.3,7.07
829,5.5,9,6,6,6.6,7.27
830,9,9.5,10,8.5,9.2,8.3
831,7,6.5,7.5,8.5,7.7,7.95
832,7.5,5.5,7.5,6,6.5,6.92
833,8, ,7.5,3.5, ,7.85
835,7,4.5,8.5,5.5,6.4,7.73
838, , , ,3, ,5.62
840,7,6.5,4,6.5,5.8,5.88
842,10,8, , , ,7.83
843,10,6,8,8,7.8,7.62
846,10,8.5,10,8,8.9,8.46
847,3.5,5,6.5,5.5,5.5,6.08
848,10,7.5, , , ,6.39
849,9,9,9,8.5,8.8,9.35
851,9,5,3.5,5,5,6.02
853,8,6.5,5.5,4.5,5.6,5.52
855,7.5,3,7,6.5,6.1,7.31
857,8, ,8.5,5.5, ,8.38
858,9.5,5,7.5,4,5.8,4.79
861,8,4.5,7,5.5,6,6.54
862,8,7,9,8.5,8.3,8.69
863,9,6,8,7.5,7.5,8.25
864,10,6.5,7,6.5,7,7.31
866,8,9,8,7.5,8,7.86
867,10,7,8.5,8.5,8.4,6.28
869,8,5,6,3.5,5,6.71
870,9,6,7,3.5,5.6,6
873,8, ,8,5, ,7.75
876,10,7, , , ,7.05
877,7.5, ,8.5,6.5, ,7.64
878,8, ,7.5,5, ,7.2
881,5.5,4.5,7,4.5,5.4,6.96
882,0,6,3.5,3,3.5,4.52
884,10,8, , , ,7.01
886, , , ,1, ,7.75
887,4.5,9,9.5,7,7.9,7.64
890,7.5,8,7.5,7,7.4,7.27
894,5,4,4,6.5,5.1,4.91
896, , , ,5.5, ,8.38
898,2.5,8,7,7,6.8,7.97
901,8,5.5,8,7,7.1,7.14
903,8, ,8,2, ,4.99
904,8,6,8.5,7.5,7.6,7.77
905, , , ,2, ,7.01
906,7,9,9,8,8.4,7.43
907,6.5, ,5.5,7, ,6.42
908,8,6,6.5,8.5,7.4,7.76
910,9,5,6,6,6.1,7.03
911,10,9.5, , , ,8.25
914,5, ,7,7, ,8.46
915,4.5,3,7,3,4.4,5.38
917,5.5,10,6,6.5,7,8.21
918, , , ,3.5, ,7.69
920,6,9.5,3.5,6.5,6.2,7.63
922,8,7.5,10,4.5,7.1,7.71
923,8,8.5,7,6,7,7.96
924,10,9, , , ,8.48
925,7.5, ,7.5,7.5, ,8.58
927,9,9,6,8,7.7,7.47
928,3.5,7.5,9.5,5,6.7,6.83
930,4,3.5,5,4,4.2,6.28
931,8, ,6,4.5, ,8.83
932,9,7.5,8,3.5,6.2,7.11
933,6,5.5,8.5,6.5,6.9,7.06
934,5,9,6,7.5,7.1,8.13
936,9,8,8.5,5,7.1,7.03
937,8,8.5,9,7.5,8.2,7.55
940,9,8,7,5,6.6,6.99
941,5.5,5,4,0,2.8,1.27
942,5,7,5,1,3.8,4.65
943,10,7.5,7,7,7.4,7.49
944,10,6,7,3.5,5.7,7.92
949,1.5,4.5,2.5, , ,7.12
950,9.5,8,8,5.5,7.2,6.69
952,9,8.5,8,5,7,5.76
953,10,10,8,9,9,8.42
955,6.5,7.5,7.5,5.5,6.6,6.57
956, , , ,0, ,3.2
958,10,8.5, , , ,8.59
960,10,5,7.5,0,4.3,6.01
962,10,8,8,7.5,8,9
963,7,4.5,5.5,4.5,5.1,6.61
964,5,4.5,7.5,5.5,5.9,6.84
966,6,4.5,5,3,4.2,5.85
969,10,5,7.5,4,5.9,6.04
970,4.5,4,5,3.5,4.2,4.4
971,8.5,7.5,8.5,8,8.1,8.7
973,8,9.5,9,3,6.6,5.76
976,10,10,10,9,9.6,8.71
977,9.5,9,9.5,7,8.4,6.96
978,6,7,7.5,6,6.7,8.19
981,6.5,7.5,4.5,4.5,5.3,6.68
984,8.5,9.5,9.5,4.5,7.4,7.53
986,9,5.5,8,5.5,6.6,6.81
988,10,8,5,9,7.7,8.26
989,7.5, ,8.5, , ,9.57
992,6,7.5,8,8.5,7.9,8.61
993,7,6,7.5,7,7,5.99
994,8.5,9.5,8,9,8.8,8.27
995,7.5,8,10, , ,8.99
997,8,5.5, ,6, ,8.88
1001,7.5,6,8,7.5,7.4,7.46
1002,4,9.5,5.5,3.5,5.4,6.86
1003,9,5,8,8,7.5,6.78
1004,10,8.5,7,8.5,8.2,8.11
1006,8.5,8,7.5,2.5,5.7,6.61
1007,10,10,10,9,9.6,9.49
1011,7,8,7.5,7,7.4,7.94
1012,0,4,3,2.5,2.7,3.72
1013,6.5,9.5, ,7.5, ,9.42
1015,10,6,7,5.5,6.5,6.98
1016,5,7,6,7,6.5,5.77
1017,8.5, ,7,7.5, ,8.36
1018,10,9.5,9.5,6,8.2,8.65
1021,3,6.5,6.5,4,5.2,6.33
1022,9,8,8,6.5,7.5,8.09
1023,10,8.5, , , ,8.86
1026,9,8, , , ,6.68
1027,9,8,8,9.5,8.7,8.94
1028,10,8.5, , , ,8.32
1030,5.5,9,4.5,3,4.9,6.42
1031,10,9.5,9.5,6,8.2,8.68
1034,9,9,9,5.5,7.6,7.11
1040,10,8.5,6,7.5,7.5,6.18
1042,9,6,6,8,7.1,7.83
1044,4.5,7,6.5, , ,6.87
1047,9,9.5,9.5,7,8.5,8.02
1048,10,7, , , ,6.63
1052,6.5, ,5,5.5, ,6.5
1053,7.5,8,7.5,5,6.6,6.8
1055,8.5,9.5,8,1.5,5.8,6.85
1056,10,6,5.5,5.5,6.1,7.66
1057,8,10,7,7.5,7.9,8.65
1058,10,9.5,4,8.5,7.5,7.29
1059,9,6,7.5,5,6.4,4.48
1060,8,7, ,7, ,8.94
1061,10,9.5,9.5,4.5,7.6,7.75
1062,6.5,5,8,4.5,5.9,5.02
1063,8.5,6.5,6.5,8.5,7.5,7.69
1064,10,7, , , ,6.62
1065,2.5,6,4.5,5.5,5,7.04
1067,7,9,8,8,8.1,7.95
1069,8.5, ,4,2, ,4.34
1071,9.5,8.5,9,7.5,8.4,7.72
1072,5,5,7.5,5,5.8,5.99
1074,8.5,5.5,9.5,9,8.4,8.41
1080,8.5,7.5,10,8.5,8.8,8.22
1081,9,6,6,7.5,6.9,6.98
1082,10,9.5,9.5,6.5,8.4,8.58
1083,3.5,3.5,2.5,2,2.6,3.72
1084,5.5,5.5,6,6.5,6.1,7.93
1086,5,5.5,7,6.5,6.3,6.07
1087,9.5,9,9,6,7.9,8.35
1088,6.5,6,6.5,4,5.4,8.18
1089,6,6.5,6,7,6.5,5.52
1091,8, ,4.5,3.5, ,5.18
1094,6.5,5,7.5,2.5,4.9,6.22
1097,9,8.5,5.5,8.5,7.7,7.45
1100,10,8,6,6,6.8,5.89
1101,5,4,6.5,5.5,5.5,6.03
1102,5,4.5,4.5,3.5,4.2,5.65
1120,8.5,7,8,9,8.3,7.58
1121,10,7,8,6.5,7.4,6.93
1122,9,9,6,0,4.5,4.93
1124,5,4,2,3.5,3.3,4.46
1125,6,6.5,8,6.5,6.9,5.9
1126,9.5,8,7,5,6.7,7.16
1128,8,6.5,10,8,8.3,7.09
1129,10,9, , , ,7.78
1130,10,7.5,9.5,8,8.6,7.34
1133,8, ,4.5,1, ,5.41
1134,10,9.5,9,8,8.8,8.77
1135,7,8.5,10,8,8.6,8.93
1143,4.5,5.5,5.5,1,3.6,3.88
1152,7,7.5,8.5,9,8.4,8.05
1153,9,4.5,7.5,8,7.3,7.04
1154,10,6.5,8,8,7.9,8.18
1155,9,6.5,5,6,6.1,7.06
1156,10,5.5,7,8.5,7.6,7.94
1160,9,10,7,8,8.2,8.51
1162,10,7.5, , , ,6.36
1165,7,5,5,4.5,5,6.48
1168,10,9,8,6.5,7.8,6.97
1169,9,6.5,8.5,6,7.2,7.41
1172,10,8, , , ,7.1
1174,10,7.5,10,8,8.7,8.49
1175,10,5.5,10,6.5,7.7,8.34
1178,2,4.5,4,5.5,4.5,5.68
1184,4.5,5.5,2.5,3,3.5,6.12
1186,5.5,5.5,6.5,2.5,4.6,5.85
1187,9.5,9,8.5,7.5,8.3,8.14
1191,5.5,8.5,9,6.5,7.6,7.79
1193,2.5,3,1,0,1.2,0.74
1194,10,9.5,9,7.5,8.6,7.88
1195,9,6.5, , , ,6.38
1196,10,5.5,9,3,6,6.91
1199,8.5,8,8.5,3,6.2,6.72
1200,8, ,8.5,5, ,6.49
1201,5,9,6,4,5.7,7.15
1203,5,7,10,6.5,7.5,7.23
1205,8.5,5,9,5,6.6,6.71
1211,10,8,8,7.5,8,7.04
1212,6.5,9,9.5, , ,7.99
1215,7.5,6,5,0,3.5,2.63
1216,6.5,10,5,5,6.2,8.2
1217,10,7.5, , , ,5.67
1219,9,8,10,9,9.1,8.25
1222,9,9.5,9,6.5,8.1,7.12
1224,10,9.5,10,7.5,8.9,7.42
1225,10,10,10, , ,7.44
1228,8.5, ,8.5,4.5, ,7.32
1229,10,4,6,6.5,6.2,6.26
1232,9,5.5,9,7.5,7.7,7.51
1233,8,9,10,8,8.8,7.63
1234,6.5,6.5,5,7.5,6.5,7.14
1236,10,6.5,6.5,8,7.5,7.69
1245,9,5.5,5,7.5,6.5,7.14
1246,8,4,9.5,8.5,7.9,8.18
1248,10,7,10,5,7.4,6.53
1250,9,6.5,5,7,6.5,5.41
1253,7,9.5,10,8.5,9,9.33
